Date,Team
2009-01-30,New Hampshire
2009-02-07,Maine
2009-02-13,Boston University
2009-03-14,Maine
2009-03-15,Boston University
2009-10-16,Massachusetts
2009-10-31,Providence
2009-11-08,Vermont
2009-11-14,Boston College
2009-11-15,Vermont
2009-11-24,Massachusetts
2009-12-04,Boston College
2010-01-08,Boston University
2010-01-15,Providence
2010-01-19,Northeastern
2010-02-01,Boston University
2010-02-08,Boston College
2010-02-12,Mass.-Lowell
2010-02-13,Boston College
2010-02-19,Northeastern
2010-02-21,Boston College
2010-10-30,Merrimack
2010-11-05,Providence
2010-11-20,Northeastern
2010-12-03,Merrimack
2010-12-04,Northeastern
2010-12-08,Boston University
2011-01-18,Merrimack
2011-01-21,Mass.-Lowell
2011-01-22,Boston College
2011-02-19,Northeastern
2011-02-26,New Hampshire
2011-03-04,Boston College
2011-11-05,Massachusetts
2011-11-19,Mass.-Lowell
2011-12-10,Northeastern
2012-01-13,Boston University
2012-01-27,Maine
2012-02-10,Providence
2012-02-24,Boston College
2012-10-13,Northeastern
2012-10-20,Boston College
2012-11-30,Boston University
2012-12-01,Boston College
2013-01-12,New Hampshire
2013-01-19,Providence
2013-01-25,Boston University
2013-02-01,Massachusetts
2013-02-10,Merrimack
2013-02-24,Boston College
2013-02-26,Mass.-Lowell
2013-03-08,Providence
2013-03-09,Mass.-Lowell
2013-11-09,Northeastern
2013-11-15,New Hampshire
2013-11-23,Providence
2014-01-07,Northeastern
2014-01-18,Vermont
2014-01-24,Boston University
2014-01-25,Vermont
2014-02-14,Boston College
2014-10-10,Mass.-Lowell
2015-01-10,Connecticut
2015-01-24,Boston College
2015-02-03,Northeastern
2015-02-21,Maine
2015-02-27,Providence
2015-03-13,New Hampshire
2015-03-14,Providence
2015-03-15,New Hampshire
2015-03-20,Boston University
2015-04-11,Providence
2016-01-08,Boston College
2016-02-27,Mass.-Lowell
2016-03-19,Northeastern
2016-10-30,Vermont
2016-11-04,Mass.-Lowell
2016-11-11,Maine
2016-11-13,Mass.-Lowell
2016-12-02,Connecticut
2017-01-14,Maine
2017-01-20,Boston University
2017-01-24,Merrimack
2017-02-24,Vermont
2017-02-25,Merrimack
2017-03-04,New Hampshire
2017-03-11,Mass.-Lowell
2017-10-06,New Hampshire
2017-11-10,Mass.-Lowell
2017-12-09,Boston University
2018-01-06,Maine
2018-01-12,Northeastern
2018-01-19,Massachusetts
2018-01-20,Northeastern
2018-01-27,Providence
2018-02-03,Vermont
