Date,Team
2006-02-24,Dartmouth
2006-03-17,Harvard
2006-10-27,Dartmouth
2006-11-03,St. Lawrence
2006-12-01,Brown
2006-12-02,Clarkson
2007-01-20,Union
2007-02-02,Harvard
2007-02-16,Yale
2007-02-18,Dartmouth
2007-03-16,Clarkson
2007-10-07,St. Lawrence
2007-10-20,Clarkson
2007-11-09,Quinnipiac
2007-11-24,Princeton
2007-11-30,Rensselaer
2007-12-01,Quinnipiac
2008-02-15,Dartmouth
2008-02-16,Princeton
2008-02-29,Clarkson
2008-03-15,Colgate
2008-03-21,Princeton
2008-11-07,Cornell
2009-01-23,Yale
2009-02-21,Princeton
2009-02-27,Dartmouth
2009-02-28,Quinnipiac
2009-03-07,Colgate
2009-03-08,Quinnipiac
2009-03-13,St. Lawrence
2009-03-20,Yale
2009-11-06,Rensselaer
2009-11-14,St. Lawrence
2009-11-21,Dartmouth
2010-01-10,Yale
2010-01-12,Harvard
2010-01-29,Princeton
2010-02-05,Colgate
2010-02-06,Quinnipiac
2010-02-13,Clarkson
2010-02-19,Brown
2010-02-26,Quinnipiac
2010-03-06,Dartmouth
2010-03-07,Quinnipiac
2010-03-13,Union
2010-03-20,Cornell
2010-11-05,St. Lawrence
2010-11-12,Harvard
2010-11-13,Clarkson
2011-01-08,Union
2011-01-21,Dartmouth
2011-01-22,Rensselaer
2011-02-11,Colgate
2011-02-12,Union
2011-03-12,Colgate
2011-03-18,Yale
2011-11-04,Cornell
2011-11-05,Brown
2011-11-12,Rensselaer
2011-11-15,Union
2012-01-21,Brown
2012-01-27,Dartmouth
2012-01-28,Yale
2012-02-03,St. Lawrence
2012-02-18,Cornell
2012-02-25,Rensselaer
2012-03-03,Clarkson
2012-03-04,Rensselaer
2012-03-09,Union
2012-11-10,Dartmouth
2012-11-16,Colgate
2012-11-30,St. Lawrence
2012-12-01,Cornell
2013-01-19,Rensselaer
2013-01-26,Union
2013-02-08,Clarkson
2013-02-09,Rensselaer
2013-02-22,Cornell
2013-03-02,Yale
2013-03-22,Union
2013-03-31,Quinnipiac
2013-04-13,Yale
2013-10-25,Brown
2013-11-01,Clarkson
2013-11-02,Yale
2013-11-23,Cornell
2014-02-08,Colgate
2014-02-28,Harvard
2014-03-01,Cornell
2014-03-15,Clarkson
2014-03-16,Cornell
2014-03-21,Union
2014-10-31,Rensselaer
2014-11-07,Harvard
2014-11-15,Yale
2014-11-21,Cornell
2015-01-09,St. Lawrence
2015-01-10,Colgate
2015-01-16,Rensselaer
2015-01-24,Union
2015-01-31,Dartmouth
2015-02-14,Colgate
2015-03-21,Harvard
2015-11-13,Quinnipiac
2016-02-12,St. Lawrence
2016-02-19,Yale
2016-02-27,Quinnipiac
2016-03-12,Cornell
2016-03-13,Quinnipiac
2016-11-05,St. Lawrence
2016-12-02,Harvard
2017-01-13,Rensselaer
2017-01-14,Dartmouth
2017-01-20,Yale
2017-02-03,Princeton
2017-02-17,Rensselaer
2017-02-18,Quinnipiac
2017-03-10,St. Lawrence
2017-03-11,Quinnipiac
2017-03-17,Harvard
2017-11-03,Yale
2017-11-04,Dartmouth
2017-11-10,Cornell
2017-11-18,Clarkson
2018-01-20,Dartmouth
2018-01-27,Cornell
2018-02-03,Rensselaer
2018-02-09,Dartmouth
2018-02-10,Union
2018-03-09,Princeton
2018-11-16,Colgate
2018-11-17,Quinnipiac
2019-01-04,Colgate
2019-01-18,Dartmouth
2019-01-19,Cornell
2019-01-26,Colgate
2019-02-01,Rensselaer
2019-02-16,Quinnipiac
2019-02-23,Clarkson
2019-11-15,Cornell
2019-12-07,Dartmouth
2020-01-04,Quinnipiac
2020-01-11,Clarkson
2020-01-17,Dartmouth
2020-01-24,Cornell
2020-01-31,Quinnipiac
2020-02-14,Clarkson
2020-02-21,Harvard
2020-02-22,St. Lawrence
2020-02-28,Cornell
2021-11-05,Harvard
2021-11-12,Clarkson
2022-02-19,Cornell
2022-03-12,Colgate
2022-03-18,Quinnipiac
2022-03-19,Harvard
2022-12-03,Colgate
2023-01-06,Rensselaer
2023-01-07,Cornell
2023-01-28,Harvard
2023-02-03,Quinnipiac
2023-03-17,Colgate
2023-11-03,Brown
2023-11-04,Cornell
2023-11-11,Harvard
2023-12-01,Clarkson
2024-01-12,Union
2024-02-02,Yale
2024-02-16,Colgate
2024-02-23,St. Lawrence
2024-03-02,Quinnipiac
2024-03-22,St. Lawrence
2024-03-23,Cornell
2024-11-15,Dartmouth
2024-12-06,St. Lawrence
2025-01-11,Union
2025-01-17,Dartmouth
2025-01-24,Colgate
2025-01-25,Harvard
2025-01-31,Princeton
2025-02-07,Clarkson
