Date,Team
2021-03-15,St. Cloud State
2021-03-16,North Dakota
2021-03-27,Minnesota-Duluth
2021-11-05,Western Michigan
2021-11-06,Minnesota-Duluth
2021-11-20,North Dakota
2021-12-03,St. Cloud State
2021-12-04,North Dakota
2022-01-21,Western Michigan
2022-01-28,Minnesota-Duluth
2022-01-29,Western Michigan
2022-02-12,St. Cloud State
2022-02-18,Omaha
2022-02-26,Denver
2022-03-18,Minnesota-Duluth
2022-03-26,Denver
2022-11-04,St. Cloud State
2022-11-05,Denver
2022-11-25,Omaha
2022-11-26,Denver
2023-01-20,St. Cloud State
2023-01-27,Minnesota-Duluth
2023-02-03,Western Michigan
2023-02-24,Denver
2023-03-17,Colorado College
2023-03-18,St. Cloud State
2024-01-12,Denver
2024-01-26,North Dakota
2024-02-16,Colorado College
2024-02-23,Omaha
2024-03-15,Colorado College
2024-03-16,Omaha
2024-03-23,Denver
