Date,Team
1985-12-03,Colgate
1985-12-06,Harvard
1985-12-08,Cornell
1986-01-29,Colgate
1986-02-15,Harvard
1986-03-01,Clarkson
1986-03-15,Cornell
1986-03-21,Denver
1986-03-22,Cornell
1986-11-14,Army
1986-11-15,Colgate
1986-11-22,St. Lawrence
1986-12-05,Yale
1987-01-03,Northern Michigan
1987-01-16,Denver
1987-01-17,Northern Michigan
1987-01-23,Minnesota
1987-01-31,Denver
1987-02-06,Michigan Tech
1987-02-10,Wisconsin
1987-02-20,Minnesota
1987-03-06,Wisconsin
1987-03-07,Minnesota
1987-03-13,North Dakota
1987-10-16,Minnesota
1987-10-23,Northern Michigan
1987-10-24,Minnesota
1987-11-06,Northern Michigan
1987-11-07,Minnesota
1987-11-13,Northeastern
1987-11-21,Maine
1987-11-25,Yale
1987-12-04,St. Lawrence
1987-12-29,Colgate
1987-12-30,Clarkson
1988-01-09,Harvard
1988-02-01,Boston University
1988-02-08,Northeastern
1988-02-16,Boston College
1988-02-20,Maine
1988-02-28,Providence
1988-03-08,Maine
1988-03-09,Providence
1988-10-28,Boston College
1988-11-01,Boston University
1988-11-08,Providence
1988-11-11,Minnesota-Duluth
1988-11-19,Minnesota
1988-12-02,Minnesota-Duluth
1988-12-03,Minnesota
1988-12-17,Western Michigan
1988-12-18,Alaska-Anchorage
1988-12-21,Merrimack
1988-12-22,Alaska-Anchorage
1989-02-03,St. Cloud State
1989-02-24,Bowling Green
1989-03-04,Michigan
1989-03-05,Bowling Green
1989-03-11,Michigan State
1989-03-24,Boston College
1989-03-25,Michigan State
1989-03-30,Harvard
1989-11-10,Yale
1989-11-11,Dartmouth
1989-11-25,Vermont
1989-12-09,Boston University
1989-12-12,New Hampshire
1989-12-30,Providence
1990-01-07,Boston College
1990-01-13,Clarkson
1990-02-02,Colgate
1990-02-16,Brown
1990-02-17,Cornell
1990-02-23,Vermont
1990-02-24,Colgate
1990-03-02,Yale
1990-03-04,Colgate
1990-04-01,Wisconsin
1990-10-26,Minnesota-Duluth
1990-10-27,Wisconsin
1990-11-02,Northern Michigan
1990-11-16,Minnesota
1990-11-30,North Dakota
1990-12-01,Minnesota
1990-12-20,Boston College
1990-12-21,Michigan State
1990-12-28,Maine
1990-12-29,Michigan
1991-02-16,Michigan State
1991-03-01,Western Michigan
1991-11-01,Michigan
1991-12-06,Lake Superior
1991-12-13,Miami
1992-01-17,Michigan State
1992-01-18,Miami
1992-01-24,Ferris State
1992-02-14,Lake Superior
1992-02-28,Ohio State
1992-03-13,Michigan
1992-03-22,Lake Superior
1992-11-06,Michigan
1992-11-07,Lake Superior
1992-12-12,Michigan State
1992-12-26,Northern Michigan
1992-12-27,Michigan
1993-02-06,Miami
1993-02-13,Western Michigan
1993-02-19,Lake Superior
1993-02-26,Michigan
1993-03-12,Notre Dame
1993-03-13,Michigan
1993-03-20,Lake Superior
1993-04-03,Maine
1993-10-22,Providence
1993-11-12,New Hampshire
1993-11-19,Boston College
1993-11-20,New Hampshire
1993-11-28,Miami
1993-12-07,Bowling Green
1994-01-14,Notre Dame
1994-01-15,Michigan
1994-01-21,Michigan State
1994-01-22,Michigan
1994-02-19,Michigan State
1994-02-25,Ferris State
1994-02-26,Notre Dame
1994-03-11,Western Michigan
1994-03-19,Michigan
1994-03-27,Lake Superior
1994-10-21,Northern Michigan
1994-10-22,Ferris State
1994-10-29,Michigan
1994-11-04,Ohio State
1994-11-05,Michigan State
1994-11-11,Michigan
1994-11-18,Miami
1994-11-19,Michigan
1994-11-26,Minnesota
1994-12-10,Denver
1995-01-06,St. Cloud State
1995-01-07,Denver
1995-01-13,Minnesota-Duluth
1995-02-04,St. Cloud State
1995-03-05,Minnesota
1995-03-17,Colorado College
1995-03-18,Wisconsin
1995-03-25,Michigan
1995-03-30,Maine
1995-04-01,Boston University
1995-11-04,Northeastern
1995-11-10,Boston College
1995-11-11,Northeastern
1995-11-17,Mass.-Lowell
1995-11-24,Vermont
1995-11-25,Maine
1996-01-12,Clarkson
1996-01-20,Vermont
1996-02-02,Clarkson
1996-03-15,Cornell
1996-03-22,Lake Superior
1996-03-23,Vermont
1996-03-28,Colorado College
1996-03-30,Michigan
1996-11-02,Michigan State
1996-11-15,Michigan
1997-02-08,Michigan State
1997-02-14,Miami
1997-02-22,Michigan State
1997-02-23,Ohio State
1997-03-02,Michigan
1997-03-27,Boston University
1997-03-29,North Dakota
1997-10-31,Minnesota
1997-11-01,North Dakota
1997-11-15,Minnesota-Duluth
1997-11-21,Wisconsin
1997-11-28,Michigan State
1997-12-07,Bowling Green
1997-12-27,Dartmouth
1998-01-02,Harvard
1998-01-03,Vermont
1998-01-10,Yale
1998-01-11,Dartmouth
1998-01-16,Clarkson
1998-01-30,Cornell
1998-01-31,St. Lawrence
1998-02-06,Dartmouth
1998-02-07,Clarkson
1998-03-21,Princeton
1998-03-27,Michigan
1998-10-17,Niagara
1998-10-23,Union
1998-10-24,Maine
1998-11-13,Massachusetts
1998-11-24,Vermont
1998-11-28,Maine
1999-01-09,Boston College
1999-01-13,Harvard
1999-02-01,Northeastern
1999-02-05,Maine
1999-02-20,Boston University
1999-02-27,Northeastern
1999-03-05,Mass.-Lowell
1999-03-11,Boston College
1999-04-01,Maine
1999-12-03,Northeastern
1999-12-19,Harvard
1999-12-29,Minnesota
2000-01-21,North Dakota
2000-01-22,Minnesota
2000-01-29,Minnesota State
2000-02-04,Denver
2000-02-05,Minnesota State
2000-03-04,Minnesota-Duluth
2000-03-11,St. Cloud State
2000-03-17,North Dakota
2000-10-20,Michigan Tech
2000-10-21,North Dakota
2000-10-27,Minnesota State
2000-10-28,North Dakota
2000-12-08,Colorado College
2000-12-09,North Dakota
2000-12-29,Boston University
2000-12-30,Wisconsin
2001-01-12,Denver
2001-01-19,Colorado College
2001-02-03,St. Cloud State
2001-02-16,Wisconsin
2001-02-17,St. Cloud State
2001-03-25,Michigan
2001-04-05,Boston College
2001-10-12,Denver
2001-11-25,New Hampshire
2001-12-07,Clarkson
2001-12-08,Mass.-Lowell
2001-12-29,Denver
2002-01-26,Minnesota
2002-02-01,Minnesota-Duluth
2002-02-02,Minnesota
2002-02-15,Colorado College
2002-02-16,Minnesota
2002-03-16,Denver
2002-03-23,Michigan
2002-04-04,Minnesota
2002-10-19,New Hampshire
2002-11-02,Boston University
2002-11-15,Boston College
2002-11-19,New Hampshire
2002-11-22,Maine
2003-01-03,Providence
2003-01-05,Massachusetts
2003-01-11,Merrimack
2003-01-18,Maine
2003-02-01,New Hampshire
2003-02-02,Maine
2003-02-07,Boston College
2003-02-10,Boston University
2003-02-21,Providence
2003-03-07,Boston University
2003-03-15,New Hampshire
2003-04-12,Minnesota
2003-10-10,Maine
2003-11-07,Boston College
2004-01-03,Northeastern
2004-01-09,Boston University
2004-01-16,Boston College
2004-02-28,New Hampshire
2004-03-06,Boston University
2004-03-12,Boston College
2004-03-13,Boston University
2004-03-19,Maine
2004-04-10,Denver
2004-10-09,Minnesota
2004-10-16,Alaska-Anchorage
2004-10-29,Michigan Tech
2004-10-30,Alaska-Anchorage
2004-11-12,Minnesota State
2004-12-03,St. Cloud State
2004-12-04,Minnesota State
2004-12-11,Wisconsin
2005-01-01,Ferris State
2005-01-07,Ohio State
2005-01-08,Ferris State
2005-01-28,Miami
2005-02-05,Western Michigan
2005-02-12,Northern Michigan
2005-03-11,Western Michigan
2005-03-12,Northern Michigan
2005-10-15,St. Cloud State
2005-10-22,Wisconsin
2005-12-09,Michigan Tech
2005-12-10,Wisconsin
2006-01-20,Denver
2006-02-17,Minnesota
2006-03-17,St. Cloud State
2006-03-18,North Dakota
2006-04-06,Boston College
2006-04-08,Wisconsin
2006-10-13,North Dakota
2006-10-14,Wisconsin
2006-10-27,Boston College
2006-10-31,Providence
2006-11-03,Massachusetts
2006-11-21,Vermont
2006-12-03,New Hampshire
2006-12-29,Cornell
2006-12-30,Maine
2007-01-12,Boston University
2007-01-26,Boston College
2007-02-02,Massachusetts
2007-02-03,Mass.-Lowell
2007-02-22,Boston College
2007-04-07,Michigan State
2007-10-13,North Dakota
2007-10-26,Michigan Tech
2007-10-27,North Dakota
2007-11-03,Colorado College
2007-11-24,Denver
2007-12-01,North Dakota
2007-12-08,Minnesota
2007-12-29,RIT
2007-12-30,Boston College
2008-01-05,Clarkson
2008-01-11,Dartmouth
